,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2024-06-25,0.5292800750946632,0.29132966653562836,0.17939025836861483,2.1428783824701614e-13,5.093434896035193e-13,2.4354995328479144e-13,1.2630576822799378e-13
2024-06-26,0.5292800750724082,0.2913296665448358,0.17939025838144013,2.542177151325e-13,6.114174327468941e-13,2.9206559803230885e-13,1.5809130150850236e-13
2024-06-27,0.5292800730036739,0.29132966733786947,0.17939025962781105,6.024261516771703e-12,1.4171641486433437e-11,7.175732329711186e-12,3.273976903724108e-12
2024-06-28,0.5292800692763895,0.29132966893254614,0.17939026174720507,8.776405221089655e-12,1.9954473236219244e-11,1.0505922262539135e-11,4.622483220643622e-12
2024-07-01,0.5292800635374576,0.2913296714670043,0.17939026496175162,7.081114497929403e-12,1.479611670983855e-11,8.626187977100833e-12,3.2831514015014417e-12
2024-07-02,0.5292800749833444,0.2913296665850469,0.1793902584305747,2.0677711052690502e-13,4.653874514434212e-13,2.493285918553681e-13,1.1238025091410346e-13
2024-07-03,0.5292800751036355,0.2913296665312207,0.17939025836407915,2.035913815571481e-13,5.093594216546763e-13,2.2584713336846562e-13,1.257583120794976e-13
2024-07-05,0.5292800751213776,0.291329666525617,0.1793902583523593,1.2712431520800276e-13,2.9588041653034336e-13,1.54769459188485e-13,6.833376362955315e-14
2024-07-08,0.6004740832391368,0.23126087857695782,0.11919082092183235,1.9597137714545323e-11,1.0552272450064142e-11,0.04907421722838027,3.543663441360401e-12
2024-07-09,0.6004740831785644,0.23126087871037204,0.11919082085030307,3.4442778031419595e-13,2.531581507571571e-13,0.049074217260043254,1.197326757204847e-13
2024-07-10,0.600474083009243,0.2312608788361775,0.11919082083791131,2.4095926264245645e-11,1.6406966818014e-11,0.04907421726981108,6.3541567472914615e-12
2024-07-11,0.6004740829848133,0.23126087887050611,0.11919082086182418,2.290082028930944e-11,1.6710894028289837e-11,0.049074217239169764,4.074967897129422e-12
2024-07-12,0.6004740830524921,0.23126087880019228,0.1191908208603209,1.578012021976916e-11,1.583604334729253e-11,0.04907421725144444,3.934097565108335e-12
2024-07-15,0.6004740830257771,0.23126087883600038,0.11919082084496228,1.4366120096089677e-11,1.5369828162151432e-11,0.049074217259673994,3.8503362233630655e-12
2024-07-16,0.6004740832062669,0.23126087863821215,0.11919082089659805,1.2861473259875122e-11,6.298679155823898e-12,0.04907421723722824,2.5344142927292157e-12
2024-07-17,0.6004740831266733,0.23126087873366719,0.11919082087351375,1.614360236417466e-11,5.452825939544541e-12,0.04907421724203951,2.5097544386741324e-12
2024-07-18,0.6004740831562178,0.23126087869612486,0.11919082088516937,1.543890362678119e-11,5.168864750392356e-12,0.04907421723969552,2.184878416924521e-12
2024-07-19,0.6004740831893254,0.23126087864489975,0.11919082091727691,1.998269507269798e-11,7.703719652669737e-12,0.04907421721784449,2.967207038886047e-12
2024-07-22,0.6004740830446296,0.23126087882151244,0.11919082086457024,1.9965739551699482e-11,7.325709628196596e-12,0.049074217238855695,3.1406456919071394e-12
2024-07-23,0.6004740831679303,0.23126087853647487,0.11919082095678529,3.678799064328072e-11,1.0003316404241691e-11,0.04907421728629958,5.718777619899227e-12
2024-07-24,0.6004740831810048,0.2312608786690756,0.11919082089330195,1.222848441410486e-11,4.878474527825674e-12,0.0490742172375295,1.981256764928942e-12
2024-07-25,0.6004740831996315,0.23126087862417638,0.11919082089399433,1.0967766773853568e-11,4.2379334831201484e-12,0.049074217264763284,2.2288819007727648e-12
2024-07-26,0.6004740832155231,0.23126087866011694,0.1191908208638541,6.963200603649202e-13,4.5112403246400615e-13,0.049074217259124725,2.3367616486628734e-13
2024-07-29,0.6004740832068663,0.23126087867097592,0.11919082086057793,6.541760462187607e-13,4.109701391821124e-13,0.04907421726028929,2.253902192033499e-13
2024-07-30,0.600474083182371,0.23126087870457065,0.119190820852257,3.0880942489775544e-13,1.3027999590628035e-13,0.04907421726028453,7.77849614287326e-14
2024-07-31,0.6004740831878115,0.23126087869648482,0.11919082085412733,4.0034628568134496e-13,2.2157327780910148e-13,0.049074217260822874,1.3162629823581157e-13
2024-08-01,0.6004740834066921,0.2312608782400241,0.11919082099177933,2.2901456516974357e-11,1.0536210943490089e-11,0.04907421732167105,6.395714342617134e-12
2024-08-02,0.6004740831845692,0.2312608787008337,0.11919082085321502,4.1673007926543945e-13,1.8835383083892546e-13,0.049074217260666325,1.1078241816807516e-13
2024-08-05,0.6142770034783958,0.2047166525217392,0.12644302532131055,4.139197336338629e-12,1.9848674211930324e-12,0.05456331867145127,9.792245436562472e-13
2024-08-06,0.7885537311978558,4.322655358544788e-12,0.1808970892794329,8.238124926825952e-13,7.368128191154082e-13,0.030549179516389146,4.3884670176339675e-13
